puzzle_id,hf_row_index,answer,source_dataset,source_ref
628,628,B,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
645,645,A,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
659,659,C,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
669,669,B,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
684,684,B,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
685,685,A,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
688,688,D,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
694,694,B,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
701,701,B,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
710,710,D,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
715,715,A,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
719,719,D,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
735,735,D,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
741,741,C,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
749,749,D,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
751,751,C,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
760,760,D,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
763,763,D,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
779,779,B,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
795,795,A,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
800,800,B,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
815,815,B,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
817,817,D,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
831,831,A,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
834,834,D,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
853,853,D,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
859,859,B,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
866,866,B,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
867,867,C,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
878,878,A,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
902,902,C,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
909,909,C,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
912,912,A,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
925,925,D,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
932,932,C,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
966,966,B,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
972,972,A,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
994,994,A,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
1018,1018,C,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
1031,1031,D,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
1034,1034,C,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
1038,1038,B,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
1058,1058,B,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
1078,1078,B,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
1087,1087,D,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
1092,1092,C,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
1097,1097,B,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
1098,1098,A,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
1113,1113,B,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
1116,1116,A,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
1117,1117,C,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
1125,1125,D,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
1135,1135,B,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
1154,1154,C,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
1162,1162,D,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
1171,1171,B,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
1192,1192,A,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
1197,1197,D,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
1200,1200,A,neulab/VisualPuzzles (Song et al. 2025),https://huggingface.co/datasets/neulab/VisualPuzzles ; puzzle_id = analogical-subset row index
