puzzle_id,answer,publisher,sub_publisher,date,orientation,clue_number,source_dataset
cc_059,SAG BAG,Times,,2012-12-16,across,24,Cryptonite (Efrat et al. 2021)
cc_060,ERASURE,Telegraph,,2013-02-20,down,17,Cryptonite (Efrat et al. 2021)
cc_061,POTEMKIN,Times,The Times,2013-04-27,across,34,Cryptonite (Efrat et al. 2021)
cc_062,APARTHEID,Telegraph,,2013-07-04,down,3,Cryptonite (Efrat et al. 2021)
cc_063,TEMPLAR,Telegraph,,2013-09-09,down,1,Cryptonite (Efrat et al. 2021)
cc_064,INACTION,Telegraph,,2013-11-14,across,15,Cryptonite (Efrat et al. 2021)
cc_065,FLOOD,Times,The Times,2014-01-16,across,6,Cryptonite (Efrat et al. 2021)
cc_066,ENOSIS,Telegraph,,2014-03-24,down,23,Cryptonite (Efrat et al. 2021)
cc_067,WAPITI,Times,The Sunday Times,2014-06-01,across,22,Cryptonite (Efrat et al. 2021)
cc_068,ROAD TESTS,Times,The Sunday Times,2014-08-10,down,14,Cryptonite (Efrat et al. 2021)
cc_069,SLINGBACK,Times,The Times,2014-10-16,across,27,Cryptonite (Efrat et al. 2021)
cc_070,ATROPINE,Times,,2014-12-22,across,25,Cryptonite (Efrat et al. 2021)
cc_071,COVE,Times,The Times,2015-03-04,across,20,Cryptonite (Efrat et al. 2021)
cc_072,STOCKING FILLER,Times,The Times,2015-05-08,down,9,Cryptonite (Efrat et al. 2021)
cc_073,STAIN,Times,The Times,2015-07-28,across,17,Cryptonite (Efrat et al. 2021)
cc_074,PACER,Telegraph,,2015-10-09,down,2,Cryptonite (Efrat et al. 2021)
cc_075,OX EYE DAISY,Times,The Times,2015-12-19,across,12,Cryptonite (Efrat et al. 2021)
cc_076,EGOMANIA,Times,The Times,2016-02-22,down,9,Cryptonite (Efrat et al. 2021)
cc_077,ARISTOCRATIC,Times,The Times,2016-04-29,across,23,Cryptonite (Efrat et al. 2021)
cc_078,BAIN MARIE,Telegraph,,2016-07-04,across,23,Cryptonite (Efrat et al. 2021)
cc_079,FLAT,Telegraph,,2016-09-09,across,10,Cryptonite (Efrat et al. 2021)
cc_080,SHEAF,Times,The Times,2016-11-19,down,52,Cryptonite (Efrat et al. 2021)
cc_081,ARMAGNAC,Telegraph,,2017-01-21,down,1,Cryptonite (Efrat et al. 2021)
cc_082,APARTHEID,Times,The Times,2017-04-01,down,12,Cryptonite (Efrat et al. 2021)
cc_083,TRAVELLER,Times,The Times,2017-06-09,down,5,Cryptonite (Efrat et al. 2021)
cc_084,DELHI,Telegraph,,2017-08-19,down,24,Cryptonite (Efrat et al. 2021)
cc_085,HAM,Times,The Sunday Times,2017-10-29,down,7,Cryptonite (Efrat et al. 2021)
cc_086,FRUMP,Times,The Times,2018-01-03,across,17,Cryptonite (Efrat et al. 2021)
cc_087,TRANSIENT,Telegraph,,2018-03-15,down,14,Cryptonite (Efrat et al. 2021)
cc_088,DRUDGERY,Times,The Times,2018-05-23,down,16,Cryptonite (Efrat et al. 2021)
cc_089,TINNY,Times,The Times,2018-07-28,down,23,Cryptonite (Efrat et al. 2021)
cc_090,HIT LIST,Telegraph,,2018-10-01,across,1,Cryptonite (Efrat et al. 2021)
cc_091,ROYAL ASCOT,Times,The Sunday Times,2018-12-02,down,12,Cryptonite (Efrat et al. 2021)
cc_092,SCALES,Telegraph,,2019-02-08,across,1,Cryptonite (Efrat et al. 2021)
cc_093,DEED,Times,The Times,2019-04-24,across,20,Cryptonite (Efrat et al. 2021)
cc_094,I ZINGARI,Times,The Times,2019-06-26,across,21,Cryptonite (Efrat et al. 2021)
cc_095,STICKLER,Times,The Times,2019-09-06,across,8,Cryptonite (Efrat et al. 2021)
cc_096,SISTERS,Telegraph,,2019-11-20,down,8,Cryptonite (Efrat et al. 2021)
cc_097,WAPITI,Telegraph,,2020-01-28,across,22,Cryptonite (Efrat et al. 2021)
cc_098,IGNORED,Telegraph,,2020-04-10,down,21,Cryptonite (Efrat et al. 2021)
cc_099,HUNGRY,Telegraph,,2020-06-12,across,12,Cryptonite (Efrat et al. 2021)
cc_100,IMAGINES,Times,The Times,2020-08-22,down,20,Cryptonite (Efrat et al. 2021)
