model,domain,puzzle_id,correct,chosen_answer,candidate,judge_confidence,judge_ngrams,regex_score,is_chosen
Gemini 3 Pro,Rebus,1_1,1,for once in my life,my life,45.0,"[""initial thought is it's"", ""all inserted into""]",5.635483870967741,0
Gemini 3 Pro,Rebus,1_1,1,for once in my life,l 1 i 1 f 1 e,55.0,"[""one each in LI, IF, and FE"", ""three""]",1.653548387096774,0
Gemini 3 Pro,Rebus,1_1,1,for once in my life,m 1 y,55.0,"[""one in my"", ""M (1) Y""]",1.6238709677419354,0
Gemini 3 Pro,Rebus,1_1,1,for once in my life,for once in my life,95.0,"[""Brilliant!"", ""Yes, it's"", ""sounding like"", ""final solution is""]",1.516774193548387,1
Gemini 3 Pro,Rebus,1_1,1,for once in my life,ones in my life,35.0,"[""doesn't quite sound right""]",1.481290322580645,0
Gemini 3 Pro,Rebus,1_1,1,for once in my life,four ones in my life,95.0,"[""final solution is"", ""Brilliant!"", ""Yes, it's"", ""count is right""]",1.4748387096774191,0
Gemini 3 Pro,Rebus,1_1,1,for once in my life,one in my life,50.0,"[""translates to"", ""could translate into""]",1.1058064516129031,0
Gemini 3 Pro,Rebus,1_1,1,for once in my life,1s,50.0,"[""four \""1s\"" in \""MY LIFE\""""]",0.6767741935483871,0
Gemini 3 Pro,Rebus,1_1,1,for once in my life,1 in my life,50.0,"[""translates to""]",0.4380645161290322,0
Gemini 3 Pro,Rebus,1_1,1,for once in my life,m1y l1i1f1e,50.0,"[""reads"", ""re-examine""]",0.3464516129032258,0
GPT-5,Rebus,1_1,1,for once in my life,my life lines,45.0,"[""considering"", ""my life lines"", ""or"", ""my life is in bits""]",0.8399549041713641,0
GPT-5,Rebus,1_1,1,for once in my life,my life is full of i's,55.0,"[""suggest"", ""my life is full of ones"", ""full of 'I's"", ""relate to""]",0.0,0
GPT-5,Rebus,1_1,1,for once in my life,once in a lifetime,50.0,"[""evoke"", ""once in a lifetime"", ""thinking about common phrases""]",0.0,0
GPT-5,Rebus,1_1,1,for once in my life,my l11f1e,41.0,"[""presents"", ""MY L11F1E"", ""contemplating how"", ""could symbolize""]",-0.4090642615558062,0
GPT-5,Rebus,1_1,1,for once in my life,my life for one,35.0,"[""ponder if"", ""imply something like"", ""my life for one""]",-0.6249830890642616,0
GPT-5,Rebus,1_1,1,for once in my life,my life is on the line,65.0,"[""Another idea could be"", ""my life is on the line"", ""which would depict""]",-2.0840811724915445,0
GPT-5,Rebus,1_1,1,for once in my life,my l111f1e,41.0,"[""initially, I thought"", ""might say"", ""MY L111F1E""]",-2.587373167981961,0
GPT-5,Rebus,1_1,1,for once in my life,for once in my life,95.0,"[""reinforces that the correct"", ""is indeed"", ""For once in my life"", ""classic rebus puzzle representation""]",-4.342773393461105,1
GPT-5,Rebus,1_1,1,for once in my life,life behind bars,75.0,"[""suggesting"", ""life behind bars"", ""fits due to the visual"", ""often associated with""]",-5.177519729425028,0
GPT-5,Rebus,1_1,1,for once in my life,my life,41.0,"[""one final answer"", ""explicitly includes"", ""MY""]",-21.663089064261555,0
Gemini 2.5 Pro,Rebus,1_1,0,my life is in pieces,my life is in pieces,95.0,"[""Okay, I've got it"", ""I'm going with""]",0.9866782006920416,1
Gemini 2.5 Pro,Rebus,1_1,0,my life is in pieces,m1y l1i1f1e,40.0,"[""M1Y L1I1F1E"", ""dissect the pieces""]",0.0,0
Gemini 2.5 Pro,Rebus,1_1,0,my life is in pieces,m-one-y,15.0,"[""m-one-y doesn't work""]",-0.6542387543252595,0
Gemini 2.5 Pro,Rebus,1_1,0,my life is in pieces,my life in pieces,85.0,"[""Aha, \""MY LIFE.\"""", ""can be explained as"", ""My life in pieces""]",-1.5506920415224914,0
Gemini 2.5 Pro,Rebus,1_1,0,my life is in pieces,m1y,45.0,"[""let's dissect"", ""visual trick""]",-1.9954152249134949,0
Gemini 2.5 Pro,Rebus,1_1,0,my life is in pieces,my life,60.0,"[""LIFE is in there"", ""My life... broken"", ""Try \""MY\"" for \""M1Y\"", and \""LIFE\"" for \""L1I1F1E\""""]",-2.973010380622837,0
Gemini 2.5 Pro,Rebus,1_1,0,my life is in pieces,l1i1f1e,45.0,"[""next: \""L1I1F1E\"""", ""extra '1's!""]",-3.6896193771626296,0
Gemini 2.5 Pro,Rebus,1_1,0,my life is in pieces,my,75.0,"[""close to \""MY\"""", ""Makes sense"", ""Try \""MY\"" for \""M1Y\""""]",-5.171885813148789,0
Gemini 2.5 Pro,Rebus,1_1,0,my life is in pieces,life,75.0,"[""\""LIFE\"" is in there"", ""Try \""MY\"" for \""M1Y\"", and \""LIFE\"" for \""L1I1F1E\""""]",-6.81038062283737,0
Claude Opus 4.6,Rebus,1_1,0,once in my life,hi i my life,30.0,"[""maybe the answer is"", ""grammatically odd""]",-0.9413790895703952,0
Claude Opus 4.6,Rebus,1_1,0,once in my life,my life in a box,40.0,"[""maybe the overall visual appearance"", ""pointing to something like""]",-2.209738139445547,0
Claude Opus 4.6,Rebus,1_1,0,once in my life,half my life,45.0,"[""still worth considering"", ""maybe the answer is""]",-3.726109225942762,0
Claude Opus 4.6,Rebus,1_1,0,once in my life,my high life,65.0,"[""actually makes more sense"", ""I'd have \""MY HIGH LIFE\""""]",-3.899737499199692,0
Claude Opus 4.6,Rebus,1_1,0,once in my life,nightlife,35.0,"[""leaning toward"", ""don't spell NIGHTLIFE at all"", ""N, G, and T are missing""]",-5.540425123247326,0
Claude Opus 4.6,Rebus,1_1,0,once in my life,m1y l1hf1e,50.0,"[""appears to be"", ""actually visible letters"", ""M1Y L1HF1E arranged in a rectangular box""]",-5.875107241180613,0
Claude Opus 4.6,Rebus,1_1,0,once in my life,high,30.0,"[""HI-I \u2192 \""HIGH\"""", ""that's a stretch""]",-9.147563864523976,0
Claude Opus 4.6,Rebus,1_1,0,once in my life,once in my life,90.0,"[""confident that's the answer"", ""most natural fit"", ""most plausible answer"", ""most coherent solution"", ""seems like the strongest candidate""]",-11.744471477047185,1
Claude Opus 4.6,Rebus,1_1,0,once in my life,one,50.0,"[""represent the word ONE"", ""treating 1 as ONE""]",-21.721640309879,0
Claude Opus 4.6,Rebus,1_1,0,once in my life,my life,60.0,"[""simply \""MY LIFE\"""", ""more straightforward rebus puzzle""]",-33.13708944234586,0
Claude Sonnet 4.6,Rebus,1_6,1,downtown,downtown,95.0,"[""this represents \""downtown\"""", ""it could represent \""DOWNTOWN\"""", ""the word \""town\"" going down""]",0.0,1
Claude Sonnet 4.6,Rebus,1_6,1,downtown,town,50.0,"[""The word \""TOWN\"" is written"", ""spells \""TOWN\"" going downward""]",0.0,0
Qwen3-VL-235B Thinking,Rebus,1_1,0,my life,miy liiifie,30.0,"[""MIY"", ""LIIIFIE"", ""Still not making sense""]",-2.183647934419157,0
Qwen3-VL-235B Thinking,Rebus,1_1,0,my life,m1y l111f1e,41.0,"[""image is"", ""M1Y L111F1E"", ""written as 1""]",-3.4723438679754066,0
Qwen3-VL-235B Thinking,Rebus,1_1,0,my life,liiifie,25.0,"[""LIIIFIE"", ""doesn't make sense""]",-5.27248409017366,0
Qwen3-VL-235B Thinking,Rebus,1_1,0,my life,m i y,35.0,"[""if 1 is I, then M I Y"", ""not a word""]",-23.93912199331248,0
Qwen3-VL-235B Thinking,Rebus,1_1,0,my life,my life,85.0,"[""intended answer is"", ""my life"", ""I think that's it"", ""common phrase""]",-32.21708553554094,1
Qwen3-VL-235B Thinking,Rebus,1_1,0,my life,l111f1e,41.0,"[""second part is L111F1E"", ""Wait, L111F1E""]",-34.963175493474274,0
Qwen3-VL-235B Thinking,Rebus,1_1,0,my life,life,50.0,"[""Wait, \""life\"" is L-I-F-E"", ""life has one I""]",-51.77527774781576,0
Qwen3-VL-235B Thinking,Rebus,1_1,0,my life,m1y,41.0,"[""first part is M1Y"", ""M1Y: M (1) Y""]",-54.36107216050048,0
Qwen3-VL-235B Thinking,Rebus,1_1,0,my life,one,28.0,"[""1 can be \""one\"""", ""might not help""]",-59.53611260921153,0
Qwen3-VL-235B Thinking,Rebus,1_1,0,my life,my,60.0,"[""maybe the 1 is replacing the I in \""my\"""", ""M1Y would be \""my\"""", ""pronounced like \""M-I\""""]",-98.5652356811563,0
Claude Sonnet 4.6,Rebus,1_1,0,my life,m1y l1i1f1e,45.0,"[""image shows"", ""M1Y L1I1F1E"", ""break it down""]",-0.2129524243114046,0
Claude Sonnet 4.6,Rebus,1_1,0,my life,money life,55.0,"[""answer is simply MONEY LIFE"", ""visual noise"", ""well-known publications""]",-1.6061006146141588,0
Claude Sonnet 4.6,Rebus,1_1,0,my life,money is life,40.0,"[""common phrase like"", ""money is life"", ""some variation""]",-1.6787616662872753,0
Claude Sonnet 4.6,Rebus,1_1,0,my life,el-wun-eye-wun-ef-wun-ee,20.0,"[""phonetically instead"", ""doesn't quite form"", ""recognizable phrase""]",-1.8562713407694056,0
Claude Sonnet 4.6,Rebus,1_1,0,my life,l1i1f1e,35.0,"[""doesn't work cleanly"", ""doesn't seem to resolve"", ""scattered through LIFE""]",-2.3001365809241974,0
Claude Sonnet 4.6,Rebus,1_1,0,my life,m1y,40.0,"[""M1Y = MY"", ""could be \""MY\"""", ""1 in between""]",-3.8167994536763032,0
Claude Sonnet 4.6,Rebus,1_1,0,my life,money,75.0,"[""spells \""MONEY\"""", ""actually works!"", ""first word is definitely MONEY""]",-8.477646255406327,0
Claude Sonnet 4.6,Rebus,1_1,0,my life,my life,85.0,"[""straightforward answer"", ""most straightforward interpretation"", ""spells out \""MY LIFE\"" as the answer""]",-9.458388345094468,1
Claude Sonnet 4.6,Rebus,1_1,0,my life,my,50.0,"[""giving \""MY\"""", ""M and Y for the first word"", ""reads as \""MY\""""]",-12.064511723195992,0
Claude Sonnet 4.6,Rebus,1_1,0,my life,one,50.0,"[""literally represents the word \""one\"""", ""1s are just"", ""each 1 literally represents""]",-26.13246073298429,0
Qwen3-VL-235B Thinking,Rebus,1_6,0,town,town,95.0,"[""spells \""town\"""", ""That's straightforward"", ""answer should be town""]",1.7678217821782178,1
Claude Opus 4.6,Rebus,1_11,1,3d movie,3d movie,95.0,"[""Three D movies"", ""3D movie"", ""ANSWER: 3D movie""]",0.0,1
Claude Opus 4.6,Rebus,1_11,1,3d movie,d movie,45.0,"[""D movie repeated"", ""Three D movies""]",0.0,0
Gemini 3 Pro,Rebus,1_6,1,downtown,town,45.0,"[""word 'TOWN'"", ""spelled out vertically"", ""clearly oriented \""down\""""]",14.37834862385321,0
Gemini 3 Pro,Rebus,1_6,1,downtown,down,55.0,"[""clearly oriented \""down\"""", ""TOWN written \""down\"""", ""plus \""down\"" equals""]",12.01853211009174,0
Gemini 3 Pro,Rebus,1_6,1,downtown,downtown,95.0,"[""equals... \""downtown\""!"", ""Perfect"", ""that's the solution"", ""Looks good""]",4.5736697247706415,1
Gemini 3 Pro,Rebus,1_6,1,downtown,down town,90.0,"[""\""Down town\"" is perfect""]",1.4579816513761468,0
Gemini 3 Pro,Rebus,1_6,1,downtown,up town,15.0,"[""doesn't fit the presentation""]",1.3873394495412843,0
Gemini 3 Flash,Rebus,1_6,1,downtown,downtown,95.0,"[""instantly make the connection"", ""that's \""Downtown\"""", ""undeniably"", ""must be it""]",0.0,1
Gemini 3 Flash,Rebus,1_6,1,downtown,town,50.0,"[""simply the visual"", ""letters \""TOWN\"""", ""stacked on top""]",0.0,0
Gemini 3 Flash,Rebus,1_6,1,downtown,down,75.0,"[""written this way"", ""downwards"", ""written \""down\""""]",0.0,0
Gemini 2.5 Pro,Rebus,1_6,1,downtown,town,50.0,"[""word \""TOWN\"" vertically stacked"", ""concept is the downward direction of \""TOWN.\""""]",5.034726224783862,0
Gemini 2.5 Pro,Rebus,1_6,1,downtown,downtown,95.0,"[""clicks immediately"", ""practically spoon-fed to me"", ""Downtown"", ""core concept"", ""should do it""]",4.533501440922191,1
Gemini 2.5 Pro,Rebus,1_6,1,downtown,down,75.0,"[""arrangement itself indicates \""down\"""", ""core concept is the downward direction""]",4.533501440922191,0
Gemini 2.5 Pro,Rebus,1_6,1,downtown,town down,20.0,"[""Could it be something like \""Town down\""?"", ""No"", ""unlikely to be the focus""]",0.0,0
Qwen3-VL-235B Thinking,Rebus,1_11,1,3d movie,d movies,45.0,"[""three lines"", ""each with \""D movie\"""", ""D movie repeated three times""]",-1.2599397590361443,0
Qwen3-VL-235B Thinking,Rebus,1_11,1,3d movie,3d movie,95.0,"[""Oh, right!"", ""The \""D\"" here is probably representing"", ""3 D's would be 3D"", ""So the phrase is \""3D movie\"""", ""I think that's the answer""]",-2.149246987951807,1
Qwen3-VL-235B Thinking,Rebus,1_11,1,3d movie,d movie,55.0,"[""each with \""D movie\"""", ""D movie repeated three times"", ""maybe \""D\"" is a letter""]",-4.236897590361446,0
Gemini 3 Pro,Rebus,1_11,1,3d movie,d movies,50.0,"[""three \""D movies\"""", ""possibly a \""3 D movie\""""]",-0.7860294117647058,0
Gemini 3 Pro,Rebus,1_11,1,3d movie,3-d movie,40.0,"[""hyphen might be used"", ""safer and most direct solution""]",-0.9227941176470588,0
Gemini 3 Pro,Rebus,1_11,1,3d movie,3d movie,95.0,"[""naturally leads to"", ""perfectly fits"", ""confident in my final answer"", ""most direct solution""]",-3.9095588235294114,1
Gemini 3 Pro,Rebus,1_11,1,3d movie,d movie,45.0,"[""\""D movie\"" repeated three times"", ""components are clearly \""D,\"" \""movie\""""]",-4.564705882352941,0
Claude Sonnet 4.6,Rebus,1_11,1,3d movie,d movie,50.0,"[""each with \""D movie\"""", ""\""D movie\"" repeated 3 times""]",3.4203539823008846,0
Claude Sonnet 4.6,Rebus,1_11,1,3d movie,3d movie,95.0,"[""3D movie"", ""three D movies"", ""So \""3D movie\""!""]",1.6252212389380531,1
Claude Sonnet 4.6,Rebus,1_11,1,3d movie,s and three,,[],0.8327433628318583,0
Gemini 3 Flash,Rebus,1_11,1,3-d movie,d movie,50.0,"[""content is \""D movie.\"""", ""instances of \""D movie.\"""", ""repeated three times""]",2.09058524173028,0
Gemini 3 Flash,Rebus,1_11,1,3-d movie,3-d movie,95.0,"[""immediate conclusion"", ""this fits"", ""considering the \""3\"" and the \""D movie,\"""", ""expert intuition"", ""very common phrase""]",0.0,1
GPT-5,Rebus,2_4,1,advice,ad,55.0,"[""from \""ad\"" plus \""vice\"""", ""Maybe the addition""]",14.058947368421054,0
GPT-5,Rebus,2_4,1,advice,vice,50.0,"[""Adding \""vice\"" to anything"", ""indicates \""add vice\""""]",13.973157894736842,0
GPT-5,Rebus,2_4,1,advice,advice,95.0,"[""clearly points to \""Advice\"""", ""this structure leads to"", ""aligns perfectly"", ""definitely indicates \""add vice\""""]",8.914736842105263,1
GPT-5,Rebus,2_4,1,advice,vice versa,35.0,"[""might indicate \""Vice versa,\"""", ""could come to mind"", ""but wait""]",-0.0178947368421052,0
GPT-5,Rebus,2_4,1,advice,double vice,30.0,"[""could also suggest \""double vice\""""]",-0.7978947368421052,0
GPT-5,Rebus,2_4,1,advice,cross vice,30.0,"[""maybe even \""cross vice\""""]",-0.8273684210526315,0
GPT-5,Rebus,2_4,1,advice,device,25.0,"[""leads to \""device\""?"", ""I wonder if""]",-0.8968421052631579,0
GPT-5,Rebus,2_9,1,no idea,deer,65.0,"[""deer silhouette nearby"", ""combined with \""deer\"" sounds"", ""sounds like \""idea\"""", ""eye deer""]",-13.0578125,0
GPT-5,Rebus,2_9,1,no idea,no idea,95.0,"[""represent the phrase \""No idea\"""", ""pun for \""No idea\"""", ""clearly convey \""No idea\"""", ""ANSWER: No idea""]",-16.1609375,1
GPT-5,Rebus,2_9,1,no idea,no,50.0,"[""\""NO\"" is in the top left"", ""combining \""NO,\"" \""I,\"""", ""could mean \""No! I deer\""""]",-34.4875,0
Claude Sonnet 4.6,Rebus,2_9,1,no idea,"no
i",45.0,"[""The \""I\"" is below \""NO\"""", ""NO + I + DEER""]",-3.90625,0
Claude Sonnet 4.6,Rebus,2_9,1,no idea,no i deer,95.0,"[""Yes!"", ""No I deer = No idea"", ""this could be""]",-11.1,0
Claude Sonnet 4.6,Rebus,2_9,1,no idea,no idea,95.0,"[""Yes!"", ""No I deer = No idea""]",-16.674999999999997,1
Claude Sonnet 4.6,Rebus,2_9,1,no idea,no,40.0,"[""\""NO\"" at the top"", ""NO + I + DEER""]",-41.53541666666666,0
Qwen3-VL-235B Thinking,Rebus,2_4,0,twice,vice cross vice,18.0,"[""vice cross vice"", ""doesn't make sense"", ""not""]",-3.50605805637358,0
Qwen3-VL-235B Thinking,Rebus,2_4,0,twice,vise,35.0,"[""vice is pronounced"", ""vise""]",-3.96684896928902,0
Qwen3-VL-235B Thinking,Rebus,2_4,0,twice,cross,25.0,"[""plus sign is a"", ""cross""]",-6.208540176693311,0
Qwen3-VL-235B Thinking,Rebus,2_4,0,twice,vice versa,20.0,"[""vice versa"", ""but that's not"", ""no, wait, no""]",-8.041691207404291,0
Qwen3-VL-235B Thinking,Rebus,2_4,0,twice,vice plus vice,15.0,"[""vice plus vice"", ""not a standard phrase"", ""not a phrase""]",-9.304375262936473,0
Qwen3-VL-235B Thinking,Rebus,2_4,0,twice,twice,90.0,"[""twice is the answer"", ""twice because vice is repeated"", ""Oh! Yes"", ""twice means two times""]",-19.861842658813625,1
Qwen3-VL-235B Thinking,Rebus,2_4,0,twice,plus,45.0,"[""plus sign is a"", ""plus""]",-30.76781657551535,0
Qwen3-VL-235B Thinking,Rebus,2_4,0,twice,vice,50.0,"[""vice is a word"", ""vice is repeated""]",-85.93205721497685,0
Gemini 2.5 Pro,Rebus,2_4,1,advice,vice,55.0,"[""screams \""VICE + VICE.\"""", ""tool is \""vice\"""", ""could totally sound like""]",0.7695098039215686,0
Gemini 2.5 Pro,Rebus,2_4,1,advice,advice,35.0,"[""initial thought was \""ADVICE,\"""", ""couldn't make the logic *clean* enough""]",0.0,1
Gemini 2.5 Pro,Rebus,2_4,1,advice,vis-a-vis,85.0,"[""Then it hit me"", ""It all clicked"", ""sounds like \""vis-a-vis\"""", ""I'm going with that""]",0.0,0
Gemini 2.5 Pro,Rebus,2_4,1,advice,vice-president,25.0,"[""tried to make \""VICE\"""", ""like \""vice-president\"""", ""couldn't get it to work""]",0.0,0
Gemini 2.5 Pro,Rebus,2_4,1,advice,ad,30.0,"[""played with \""AD\"""", ""from \""addition,\"""", ""felt clunky""]",0.0,0
Gemini 3 Pro,Rebus,2_4,1,advice,double vice,15.0,"[""Is 'Double vice' a possibility?"", ""No, it's not""]",0.0,0
Gemini 3 Pro,Rebus,2_4,1,advice,miami vice,35.0,"[""Could it be something related to"", ""Miami Vice""]",0.0,0
Gemini 3 Pro,Rebus,2_4,1,advice,vice plus vice,45.0,"[""VICE plus VICE"", ""sounds like 'Advice'""]",-0.5729828850855745,0
Gemini 3 Pro,Rebus,2_4,1,advice,vice versa,18.0,"[""that's not it"", ""does not fit""]",-0.9326813365933172,0
Gemini 3 Pro,Rebus,2_4,1,advice,device,15.0,"[""'Device' perhaps?"", ""No""]",-1.2281173594132029,0
Gemini 3 Pro,Rebus,2_4,1,advice,vice add vice,55.0,"[""literally adding vices"", ""Vice add vice""]",-1.6702526487367564,0
Gemini 3 Pro,Rebus,2_4,1,advice,add vice,85.0,"[""obvious route"", ""It is 'Add Vice'""]",-7.296495517522413,0
Gemini 3 Pro,Rebus,2_4,1,advice,advice,95.0,"[""Advice is the right answer"", ""absolutely solid"", ""feels right""]",-10.269315403422985,1
Gemini 3 Pro,Rebus,2_4,1,advice,vice,40.0,"[""is just part of it"", ""The addition of 'Vice'""]",-32.68687856560717,0
Gemini 3 Flash,Rebus,2_4,1,advice,add vice,90.0,"[""Add vice is the likely conclusion"", ""Add vice might work"", ""confirmed that the common answer"", ""It is 'Add Vice'""]",-0.1089411764705881,0
Gemini 3 Flash,Rebus,2_4,1,advice,vice versa,35.0,"[""initial thought is"", ""plus doesn't look like"", ""throws a wrench in that""]",-0.1585294117647058,0
Gemini 3 Flash,Rebus,2_4,1,advice,add vices,20.0,"[""Not a thing"", ""Is it like""]",-0.4931176470588235,0
Gemini 3 Flash,Rebus,2_4,1,advice,the other way around,40.0,"[""commonly used to mean""]",-0.524,0
Gemini 3 Flash,Rebus,2_4,1,advice,add,65.0,"[""interpretation of the plus sign"", ""means 'ADD'"", ""functions as 'add'""]",-0.7354705882352937,0
Gemini 3 Flash,Rebus,2_4,1,advice,advices,15.0,"[""implying multiple instances"", ""Nope""]",-0.7648823529411763,0
Gemini 3 Flash,Rebus,2_4,1,advice,advice,95.0,"[""AD + VICE = ADVICE"", ""ADVICE is the main answer"", ""it's probably"", ""fits"", ""most common answer""]",-0.9337647058823526,1
Gemini 3 Flash,Rebus,2_4,1,advice,vice plus vice,50.0,"[""structure of the phrase"", ""Could mean""]",-1.3016470588235294,0
Gemini 3 Flash,Rebus,2_4,1,advice,vice,45.0,"[""extra 'VICE' throws me"", ""doubled 'VICE' feels strange""]",-2.265000000000001,0
Gemini 3 Flash,Rebus,2_4,1,advice,plus,50.0,"[""plus sign is key"", ""means 'add'""]",-2.8804117647058822,0
Claude Sonnet 4.6,Rebus,2_4,1,advice,think twice,30.0,"[""think twice"", ""none of these quite fit""]",0.0,0
Claude Sonnet 4.6,Rebus,2_4,1,advice,vice city,35.0,"[""literally just mean"", ""vice city"", ""could mean""]",-1.451856571858889,0
Claude Sonnet 4.6,Rebus,2_4,1,advice,vice and vice,32.0,"[""vice and vice"", ""could lead to devices""]",-2.708567456409662,0
Claude Sonnet 4.6,Rebus,2_4,1,advice,vice versa,65.0,"[""common phrase"", ""it has to be the answer"", ""keeps pulling at me"", ""compelling as a well-known phrase""]",-3.231309737589063,0
Claude Sonnet 4.6,Rebus,2_4,1,advice,twice,28.0,"[""if the v somehow sounds like a w"", ""doesn't quite work"", ""v + v + ice"", ""w + ice = twice""]",-6.420013902566182,0
Claude Sonnet 4.6,Rebus,2_4,1,advice,vise,40.0,"[""sounds like vise"", ""vice (tool)"", ""tool that grasps""]",-9.879435787522446,0
Claude Sonnet 4.6,Rebus,2_4,1,advice,devices,70.0,"[""most likely answers"", ""contains vice"", ""best guess"", ""really final this time""]",-13.218814806232984,0
Claude Sonnet 4.6,Rebus,2_4,1,advice,advice,85.0,"[""most common word"", ""most straightforward answer"", ""has to be it"", ""final answer"", ""the answer is advice""]",-29.98749348317209,1
Claude Sonnet 4.6,Rebus,2_4,1,advice,and,45.0,"[""plus sign means something specific"", ""plus = and"", ""vice and vice""]",-33.73353414817818,0
Claude Sonnet 4.6,Rebus,2_4,1,advice,vice,40.0,"[""literally combining"", ""means something else"", ""bad habit"", ""prefix meaning deputy""]",-176.8951804437235,0
Claude Opus 4.6,Rebus,2_9,1,no idea,no i deer,95.0,"[""No I deer = No idea"", ""That's it!"", ""sounds like""]",-8.546610169491526,0
Claude Opus 4.6,Rebus,2_9,1,no idea,no idea,95.0,"[""No I deer = No idea"", ""That's it!"", ""sounds like""]",-12.953389830508474,1
Claude Opus 4.6,Rebus,2_9,1,no idea,deer,50.0,"[""with a deer"", ""deer image""]",-17.807203389830505,0
Claude Opus 4.6,Rebus,2_9,1,no idea,no,50.0,"[""shows \""NO\"""", ""\""No\"" + \""I\""""]",-29.25889830508475,0
Gemini 3 Pro,Rebus,2_9,1,no idea,no i deer,95.0,"[""no i deer"", ""and there it is"", ""strongly suggests"", ""interpretations""]",-4.822317596566524,0
Gemini 3 Pro,Rebus,2_9,1,no idea,no idea,95.0,"[""strongly suggests"", ""no idea"", ""I'm confident"", ""there it is""]",-8.547925608011445,1
Gemini 3 Pro,Rebus,2_9,1,no idea,deer,50.0,"[""visual of a deer"", ""plus 'deer'""]",-9.579113018597996,0
Gemini 3 Pro,Rebus,2_9,1,no idea,no,50.0,"[""the word 'NO'"", ""NO plus 'I'""]",-16.48698140200286,0
Gemini 3 Flash,Rebus,2_9,1,no idea,no i deer,95.0,"[""string them together"", ""pretty clear"", ""sounds like"", ""Absolutely"", ""I'm confident in my interpretation""]",-3.696425120772947,0
Gemini 3 Flash,Rebus,2_9,1,no idea,"no
i",50.0,"[""NO is positioned over I"", ""read it as"", ""doesn't feel right""]",-4.912463768115942,0
Gemini 3 Flash,Rebus,2_9,1,no idea,no idea,95.0,"[""leads me to"", ""pretty clear"", ""this is a classic"", ""I'm confident""]",-14.489855072463769,1
Gemini 3 Flash,Rebus,2_9,1,no idea,no,40.0,"[""initially see \""NO\"""", ""positioned *over*""]",-41.53468599033816,0
Gemini 2.5 Pro,Rebus,2_9,1,no idea,deer,50.0,"[""silhouette of a deer"", ""represents the word \""deer\"""", ""then \""DEER\""""]",0.6837606837606836,0
Gemini 2.5 Pro,Rebus,2_9,1,no idea,no-i-deer,75.0,"[""\""No-I-Deer\""... Hmm"", ""sounds like"", ""phonetic representation""]",-1.4641975308641977,0
Gemini 2.5 Pro,Rebus,2_9,1,no idea,no,50.0,"[""word \""NO\"""", ""Reading it linearly: \""NO\""""]",-3.3446343779677106,0
Gemini 2.5 Pro,Rebus,2_9,1,no idea,no idea,95.0,"[""Ah, right: \""No idea\"""", ""Seems solid"", ""exactly"", ""answer in the correct format""]",-4.0334283000949664,1
Claude Sonnet 4.6,Rebus,3_2,1,good looking,good looking,95.0,"[""could be \""good looking\"""", ""the answer is \""GOOD LOOKING\""""]",-1.7576923076923074,1
Claude Sonnet 4.6,Rebus,3_2,1,good looking,good,45.0,"[""within the word \""GOOD\"""", ""word \""GOOD\"" where the two O's are replaced""]",-3.0285256410256407,0
Claude Sonnet 4.6,Rebus,3_2,1,good looking,looking,85.0,"[""eyes are \""looking\"""", ""eyes are looking to the side""]",-4.436217948717949,0
GPT-5,Rebus,3_2,1,good looking,good looking,75.0,"[""feels strong"", ""usual phrase"", ""leaning toward the former"", ""decided to go with""]",0.0,1
GPT-5,Rebus,3_2,1,good looking,looking good,55.0,"[""could conclude with"", ""leaning toward the former"", ""thinking about the phrase""]",0.0,0
